Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,Cpu_Brand,SSD,HDD,Flash_Storage,Gpu_brand,OS,Price
HP,Notebook,4,1.91,0,0,146.86047800548656,Other Intel Processor,128,0,0,Intel,Windows,39672
Asus,Notebook,4,2.0,0,0,104.47285665558198,Intel Core i5,256,0,0,Intel,Windows,52973
MSI,Gaming,16,2.43,0,0,129.58277471072344,Intel Core i7,256,0,0,Nvidia,Windows,221316
Asus,Notebook,4,2.0,0,0,146.86047800548656,Other Intel Processor,256,0,0,Intel,Other/No OS/Linux,37503
Dell,Notebook,16,2.8,0,0,129.58277471072344,Intel Core i7,256,0,0,AMD,Windows,117390
Dell,Ultrabook,8,1.7,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,79435
Lenovo,Notebook,8,1.7,0,1,157.3505121487356,Other Intel Processor,256,0,0,Intel,Other/No OS/Linux,54131
Asus,Notebook,8,1.4,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,85038
HP,Notebook,8,1.86,0,0,146.86047800548656,Intel Core i5,256,0,0,Intel,Windows,62355
Asus,Ultrabook,16,1.8,0,0,146.86047800548656,Intel Core i7,512,0,0,Nvidia,Windows,179203
HP,Notebook,4,1.86,0,0,104.47285665558198,Other Intel Processor,0,500,0,AMD,Windows,39644
HP,Notebook,4,1.44,0,0,111.93520355955211,Other Intel Processor,32,0,0,Intel,Windows,20694
Lenovo,Notebook,4,1.9,0,0,146.86047800548656,Intel Core i5,0,0,0,Intel,Windows,49613
Asus,Gaming,12,3.0,0,0,129.58277471072344,Intel Core i7,0,0,0,Nvidia,Other/No OS/Linux,85761
Microsoft,Ultrabook,4,1.252,0,0,208.56727378068615,Intel Core i5,128,0,0,Intel,Other/No OS/Linux,98412
Dell,Ultrabook,8,1.4,0,1,169.45439769863833,Intel Core i7,256,0,0,AMD,Windows,86303
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,256,0,0,AMD,Windows,78621
MSI,Gaming,8,2.7,0,0,129.58277471072344,Intel Core i5,128,0,0,Nvidia,Windows,98955
Acer,Notebook,8,2.1,0,0,111.93520355955211,Other Intel Processor,0,0,0,Intel,Windows,35153
Asus,Gaming,8,2.2,0,0,146.86047800548656,Intel Core i7,0,0,0,Nvidia,Windows,85761
Lenovo,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,0,0,0,Intel,Other/No OS/Linux,46902
Dell,Notebook,8,2.02,0,0,146.86047800548656,Intel Core i7,128,0,0,Intel,Windows,77266
Acer,Notebook,4,2.2,0,0,146.86047800548656,Other Intel Processor,0,0,0,Nvidia,Windows,47896
HP,Notebook,8,2.5,0,0,129.58277471072344,Intel Core i5,128,0,0,Nvidia,Windows,88291
Dell,Ultrabook,8,1.88,0,1,146.86047800548656,Intel Core i5,256,0,0,Intel,Windows,99059
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Intel Core i5,512,0,0,Intel,Mac,136458
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,77718
Lenovo,Notebook,4,2.2,0,0,146.86047800548656,AMD Processor,128,0,0,AMD,Windows,36057
Acer,Notebook,4,2.1,0,0,104.47285665558198,AMD Processor,0,0,0,AMD,Windows,35696
Dell,Gaming,16,2.65,0,1,146.86047800548656,Intel Core i7,128,0,0,Nvidia,Windows,121909
HP,Ultrabook,8,1.83,0,1,146.86047800548656,Intel Core i7,256,0,0,Nvidia,Windows,63168
HP,Notebook,8,1.96,0,0,146.86047800548656,Intel Core i5,256,0,0,Intel,Windows,54130
Asus,Gaming,16,2.2,0,1,146.86047800548656,Intel Core i7,128,0,0,Nvidia,Windows,130946
Dell,Ultrabook,8,1.21,0,1,169.45439769863833,Intel Core i7,256,0,0,Intel,Windows,149020
Asus,Gaming,8,2.45,0,0,146.86047800548656,AMD Processor,0,0,0,AMD,Windows,63168
Acer,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,0,0,0,Nvidia,Windows,62264
HP,Notebook,16,1.49,0,0,169.45439769863833,Intel Core i7,512,0,0,Intel,Windows,108172
Dell,Gaming,8,2.65,0,0,146.86047800548656,Intel Core i5,256,0,0,Nvidia,Windows,107992
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,256,0,0,Intel,Windows,94798
